Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits,Volume
1988-01-04 00:00:00+00:00,256.01529765989915,256.0792009868344,275.195039033849,256.0133262852543,256.0133262852543,,,0
1988-01-05 00:00:00+00:00,258.76055600062443,258.8890626709223,298.7622027516771,258.7565921635395,258.7565921635395,,,0
1988-01-06 00:00:00+00:00,259.0158147156547,259.20906760951186,321.4386967325905,259.00985452166515,259.00985452166515,,,0
1988-01-07 00:00:00+00:00,261.1909417687723,261.4505168650963,348.218614857455,261.1829371262417,261.1829371262417,,,0
1988-01-08 00:00:00+00:00,243.52745517698787,243.83473486338107,350.75653504911924,243.5179807324102,243.5179807324102,,,0
1988-01-11 00:00:00+00:00,247.64260642630506,248.0159404079048,382.9605851571879,247.63109677344826,247.63109677344826,,,0
1988-01-12 00:00:00+00:00,245.56830545213347,246.00041781153894,408.4423334491878,245.55498542679493,245.55498542679493,,,0
1988-01-13 00:00:00+00:00,245.9837495747573,246.4779953802766,439.7317859505607,245.9685162217822,245.9685162217822,,,0
1988-01-14 00:00:00+00:00,246.04922387780155,246.60512285618196,472.79134424302896,246.03209249262434,246.03209249262434,,,0
1988-01-15 00:00:00+00:00,252.24368495598122,252.8751324286566,520.1133673328434,252.22422780918288,252.22422780918288,,,0
1988-01-18 00:00:00+00:00,252.0690958344024,252.76322461574668,558.7176744694984,252.04771000778823,252.04771000778823,,,0
1988-01-19 00:00:00+00:00,249.51500388916432,250.26518983474534,594.9128066602997,249.49189396681888,249.49189396681888,,,0
1988-01-20 00:00:00+00:00,242.81189616132616,243.60439561325495,623.4986451452958,242.78748596880786,242.78748596880786,,,0
1988-01-21 00:00:00+00:00,243.3173345968288,244.17228807855776,671.5059334786437,243.2910041086339,243.2910041086339,,,0
1988-01-22 00:00:00+00:00,246.68200335300227,247.6097255074612,731.097606302194,246.65343539809118,246.65343539809118,,,0
1988-01-25 00:00:00+00:00,252.43589034106256,253.4470558257461,802.9207329918252,252.40475678379102,252.40475678379102,,,0
1988-01-26 00:00:00+00:00,249.87201838739736,250.93617505786162,854.9166657658889,249.83925750187908,249.83925750187908,,,0
1988-01-27 00:00:00+00:00,249.67749652500044,250.80345915674292,918.2972201588642,249.64283736086034,249.64283736086034,,,0
1988-01-28 00:00:00+00:00,253.581633544725,254.78780380454532,1001.4506265852838,253.5445101548907,253.5445101548907,,,0
1988-01-29 00:00:00+00:00,257.3756662122553,258.663478696361,1091.457799690075,257.33603507716424,257.33603507716424,,,0
1988-02-01 00:00:00+00:00,255.41166143419096,256.75420991556626,1164.8955855853624,255.37035121153093,255.37035121153093,,,0
1988-02-02 00:00:00+00:00,256.046734313271,257.45670758884086,1255.060231507532,256.00335500169024,256.00335500169024,,,0
1988-02-03 00:00:00+00:00,252.6833963477238,254.1391106566434,1332.5970672968083,252.6386156046425,252.6386156046425,,,0
1988-02-04 00:00:00+00:00,252.8586981627431,254.37885624334788,1433.3531003784565,252.81194101474549,252.81194101474549,,,0
1988-02-05 00:00:00+00:00,251.80452367105167,253.38183786853298,1534.7570833415523,251.75601478240506,251.75601478240506,,,0
1988-02-08 00:00:00+00:00,249.98075174044658,251.60988659014552,1638.6174820366,249.9306556506903,249.9306556506903,,,0
1988-02-09 00:00:00+00:00,252.6448960931865,254.3541958339667,1778.837934249866,252.59234162318074,252.59234162318074,,,0
1988-02-10 00:00:00+00:00,257.6278022817354,259.4343020199134,1947.183561696456,257.57226630032767,257.57226630032767,,,0
1988-02-11 00:00:00+00:00,256.92342830179854,258.78974448177627,2087.733100100997,256.8660608326766,256.8660608326766,,,0
1988-02-12 00:00:00+00:00,258.7277563474576,260.6717740035741,2258.7974394155103,258.66800810722435,258.66800810722435,,,0
1988-02-16 00:00:00+00:00,260.9917876218691,263.0178810861445,2447.781188169723,260.92952478219195,260.92952478219195,,,0
1988-02-17 00:00:00+00:00,260.3873396330482,262.4743907556201,2625.487776235804,260.32321181349505,260.32321181349505,,,0
1988-02-18 00:00:00+00:00,259.0733383132997,261.2153718443651,2808.9271463922314,259.00752959429315,259.00752959429315,,,0
1988-02-19 00:00:00+00:00,262.79631716354,265.0343326111954,3059.7232791923825,262.72756837016595,262.72756837016595,,,0
1988-02-22 00:00:00+00:00,266.9089323461754,269.24812481524043,3336.8254509257044,266.8370846491394,266.8370846491394,,,0
1988-02-23 00:00:00+00:00,266.30445013638115,268.7055500252487,3579.2467023669296,266.23071048931513,266.23071048931513,,,0
1988-02-24 00:00:00+00:00,265.77989339346476,268.2433333633128,3840.335754620108,265.70424899802526,265.70424899802526,,,0
1988-02-25 00:00:00+00:00,262.9169745200497,265.4208331993887,4086.667367238432,262.8400990041217,262.8400990041217,,,0
1988-02-26 00:00:00+00:00,263.80152177762824,266.38005414278166,4406.569134009861,263.7223637347733,263.7223637347733,,,0
1988-02-29 00:00:00+00:00,269.28278913503107,271.9813874682382,4828.247010165287,269.1999556630065,269.1999556630065,,,0
1988-03-01 00:00:00+00:00,269.23787548721884,272.003911059476,5189.1499056184,269.15298296952506,269.15298296952506,,,0
1988-03-02 00:00:00+00:00,269.5427069330538,272.3797671740392,5583.770311536579,269.455645800188,269.455645800188,,,0
1988-03-03 00:00:00+00:00,269.43783853423935,272.3417817620773,5999.906125394751,269.3487364431245,269.3487364431245,,,0
1988-03-04 00:00:00+00:00,268.88334623622524,271.8492905584504,6437.04161721088,268.7923535065717,268.7923535065717,,,0
1988-03-07 00:00:00+00:00,268.998317677905,272.0333845701895,6922.025093273562,268.9052163179161,268.9052163179161,,,0
1988-03-08 00:00:00+00:00,271.11163795886813,274.2384494373917,7494.969925977623,271.01573457860354,271.01573457860354,,,0
1988-03-09 00:00:00+00:00,270.79693339695194,273.9885660009378,8047.755601496131,270.6990544975849,270.6990544975849,,,0
1988-03-10 00:00:00+00:00,265.5464858724591,268.7446246506966,8494.616418414977,265.44842033006654,265.44842033006654,,,0
1988-03-11 00:00:00+00:00,266.660631048917,269.9392675917504,9166.631336038163,266.5601100816324,266.5601100816324,,,0
1988-03-14 00:00:00+00:00,268.1144268110282,271.47831563207126,9903.324829932375,268.01130528332345,268.01130528332345,,,0
1988-03-15 00:00:00+00:00,267.87974380794634,271.3084499562242,10636.564089764226,267.77464883470424,267.77464883470424,,,0
1988-03-16 00:00:00+00:00,270.6122679787302,274.14366823050545,11541.901391269193,270.50403909112805,270.50403909112805,,,0
1988-03-17 00:00:00+00:00,273.0050195860168,276.63607150134334,12508.61651365715,272.8937508364137,272.8937508364137,,,0
1988-03-18 00:00:00+00:00,272.9101079204717,276.60894664156774,13441.351022270726,272.79677655007157,272.79677655007157,,,0
1988-03-21 00:00:00+00:00,270.51748409334624,274.25293720204377,14330.468684381924,270.4030457504869,270.4030457504869,,,0
1988-03-22 00:00:00+00:00,270.62240174675213,274.4277579390255,15409.59390104915,270.5058368947152,270.5058368947152,,,0
1988-03-23 00:00:00+00:00,270.69737791194603,274.5722863404675,16568.273103720207,270.5786978486719,270.5786978486719,,,0
1988-03-24 00:00:00+00:00,265.09825232912897,268.96154588465384,17466.78608817026,264.9799435756167,264.9799435756167,,,0
1988-03-25 00:00:00+00:00,260.438338462956,264.3008563765468,18468.27836193347,260.32006898118414,260.32006898118414,,,0
1988-03-28 00:00:00+00:00,259.99403905154156,263.9159378893507,19820.323428883865,259.87396684808493,259.87396684808493,,,0
1988-03-29 00:00:00+00:00,262.03701042600903,266.0556007914199,21460.90665169941,261.9139936731252,261.9139936731252,,,0
1988-03-30 00:00:00+00:00,260.0244743581955,264.0786087858838,22903.823516373617,259.9003856581256,259.9003856581256,,,0
1988-03-31 00:00:00+00:00,260.8487539406484,264.9816547872854,24692.269100334084,260.72227062443227,260.72227062443227,,,0
1988-04-04 00:00:00+00:00,258.1071444841974,262.2627473165172,26282.566637768523,257.9799829682215,257.9799829682215,,,0
1988-04-05 00:00:00+00:00,260.5795192730182,264.8403896221278,28503.282807168776,260.4491532266519,260.4491532266519,,,0
1988-04-06 00:00:00+00:00,267.6163416973399,272.0583796898543,31408.32387894541,267.4804497001078,267.4804497001078,,,0
1988-04-07 00:00:00+00:00,268.28061144778394,272.80158189742787,33839.239797860915,268.1423225221414,268.1423225221414,,,0
1988-04-08 00:00:00+00:00,271.58166469454994,276.2263553926597,36790.6811901156,271.4396094780814,271.4396094780814,,,0
1988-04-11 00:00:00+00:00,272.3357217956007,277.0622555530779,39649.006394990065,272.19118205030355,272.19118205030355,,,0
1988-04-12 00:00:00+00:00,273.549192383299,278.36594211648196,42795.97992994587,273.4019127052148,273.4019127052148,,,0
1988-04-13 00:00:00+00:00,273.75390232680746,278.6437376053989,46034.06769636914,273.6044072154317,273.6044072154317,,,0
1988-04-14 00:00:00+00:00,261.8643508238428,266.61136334243514,47483.38047178,261.71924173816495,261.71924173816495,,,0
1988-04-15 00:00:00+00:00,261.879545518845,266.6933804476145,51043.3538686498,261.7324127538513,261.7324127538513,,,0
1988-04-18 00:00:00+00:00,261.32546357212254,266.1956808765303,54759.27051746891,261.17662674829205,261.17662674829205,,,0
1988-04-19 00:00:00+00:00,260.03244465971284,264.94500770090804,58590.61731348463,259.88233318821824,259.88233318821824,,,0
1988-04-20 00:00:00+00:00,258.2201372522297,263.164593009438,62571.58445137926,258.06907087414226,258.06907087414226,,,0
1988-04-21 00:00:00+00:00,258.515006376714,263.5307949931944,67330.58797471596,258.3617803387715,258.3617803387715,,,0
1988-04-22 00:00:00+00:00,262.2649777795745,267.4193025541401,73351.34519282382,262.1075396661214,262.1075396661214,,,0
1988-04-25 00:00:00+00:00,264.6567388162188,269.92481778310264,79515.399875805,264.4958466752586,264.4958466752586,,,0
1988-04-26 00:00:00+00:00,266.2195956917681,271.5861578482988,85941.85338027294,266.05571680751433,266.05571680751433,,,0
1988-04-27 00:00:00+00:00,266.1248528799386,271.55729386012206,92349.60345971298,265.958983666699,265.958983666699,,,0
1988-04-28 00:00:00+00:00,264.9217737374991,270.397437590816,98850.48759964442,264.75460646881373,264.75460646881373,,,0
1988-04-29 00:00:00+00:00,263.6388417081231,269.15548063961677,105777.17185945145,263.4704453455327,263.4704453455327,,,0
1988-05-02 00:00:00+00:00,263.92354819700824,269.5133265911372,113815.70023230552,263.75294123756936,263.75294123756936,,,0
1988-05-03 00:00:00+00:00,265.47634136699935,271.16627850345697,123011.83937758101,265.30269972317467,265.30269972317467,,,0
1988-05-04 00:00:00+00:00,262.8156115209809,268.5162052923512,130994.39018087693,262.6416673438244,262.6416673438244,,,0
1988-05-05 00:00:00+00:00,261.42296927599205,267.1603784029894,140113.70645404953,261.24792445522434,261.24792445522434,,,0
1988-05-06 00:00:00+00:00,260.17016976583335,265.946767897633,149938.86952276283,259.9939521702803,259.9939521702803,,,0
1988-05-09 00:00:00+00:00,259.45655474843204,265.28368945623663,160760.2781988746,259.2788185217502,259.2788185217502,,,0
1988-05-10 00:00:00+00:00,260.5799640681077,266.49854499884094,173499.70561794782,260.3994618013999,260.3994618013999,,,0
1988-05-11 00:00:00+00:00,256.2223569432181,262.10848187632956,183596.0508104594,256.0428680693698,256.0428680693698,,,0
1988-05-12 00:00:00+00:00,256.7767263571906,262.74100969693797,197747.38498405134,256.5948775856902,256.5948775856902,,,0
1988-05-13 00:00:00+00:00,259.7570052584977,265.85609396186896,214856.78823059596,259.5710700580201,259.5710700580201,,,0
1988-05-16 00:00:00+00:00,261.83868341417775,268.0530083213943,232674.63811144442,261.6492594211152,261.6492594211152,,,0
1988-05-17 00:00:00+00:00,258.59943982292884,264.8037932361416,247227.01112810976,258.41034450054156,258.41034450054156,,,0
1988-05-18 00:00:00+00:00,254.5717267577444,260.74554251357654,261897.44011979978,254.38358683401722,254.38358683401722,,,0
1988-05-19 00:00:00+00:00,255.84479549083056,262.1145682594271,282827.19417867216,255.65375593799644,255.65375593799644,,,0
1988-05-20 00:00:00+00:00,256.2993123146418,262.64564809543305,304517.6496918316,256.1059648190413,256.1059648190413,,,0
1988-05-23 00:00:00+00:00,254.11851943644174,260.4764127920337,324739.5222488659,253.92484505428408,253.92484505428408,,,0
